c	n	which network, [0]:sea; [1]:air; [2]:dummy; [3]:exist_sea; [4]:exist_air;				
c	tail	arc from, i				
c	head	arc to, j				
c	m_p	margin revenue per cubic meter transported on arc(i, j) in G[S] & G[A] & G[E]				
c	fo_c	fixed operating cost on arc (i, j) in G[S] & G[A]				
c	l_c	unit loading and unloading cost on arc(i, j) in G[D]				
c	s_c	unit holding and transporting cost on arc(i, j) in G[D]				
						
n	1					
c	tail	head	r	v_c	fo_c	tij
a	439	442	1706	441	3707	1
a	442	444	785	481	2540	1
a	444	449	1651	250	5621	1
a	447	450	1706	441	3707	1
a	449	454	1533	510	1582	1
a	450	453	1533	510	1582	1
a	453	456	1651	250	5621	1
a	454	459	1706	441	3707	1
a	456	462	785	481	2540	1
a	462	467	1706	441	3707	1
a	463	466	1706	441	3707	1
a	466	468	785	481	2540	1
a	468	473	1651	250	5621	1
a	471	474	1706	441	3707	1
a	473	478	1533	510	1582	1
a	474	477	1533	510	1582	1
a	477	480	1651	250	5621	1
a	478	483	1706	441	3707	1
a	480	486	785	481	2540	1
a	486	491	1706	441	3707	1
a	523	526	1706	441	3707	1
a	526	528	785	481	2540	1
a	528	533	1651	250	5621	1
a	531	534	1706	441	3707	1
a	533	538	1533	510	1582	1
a	534	537	1533	510	1582	1
a	537	540	1651	250	5621	1
a	538	543	1706	441	3707	1
a	540	546	785	481	2540	1
a	546	551	1706	441	3707	1
a	547	550	1706	441	3707	1
a	550	552	785	481	2540	1
a	552	557	1651	250	5621	1
a	555	558	1706	441	3707	1
a	557	562	1533	510	1582	1
a	558	561	1533	510	1582	1
a	561	564	1651	250	5621	1
a	562	567	1706	441	3707	1
a	564	570	785	481	2540	1
a	570	575	1706	441	3707	1
a	607	610	1706	441	3707	1
a	610	612	785	481	2540	1
a	612	617	1651	250	5621	1
a	615	618	1706	441	3707	1
a	617	622	1533	510	1582	1
a	618	621	1533	510	1582	1
a	621	624	1651	250	5621	1
a	622	627	1706	441	3707	1
a	624	630	785	481	2540	1
a	630	635	1706	441	3707	1
a	631	634	1706	441	3707	1
a	634	636	785	481	2540	1
a	636	641	1651	250	5621	1
a	639	642	1706	441	3707	1
a	641	646	1533	510	1582	1
a	642	645	1533	510	1582	1
a	645	648	1651	250	5621	1
a	646	651	1706	441	3707	1
a	648	654	785	481	2540	1
a	654	659	1706	441	3707	1
t	60					
