a	36																																																			
c	no	q	num_p																																																	
n	0	0	7																																																	
n	1	0	12																																																	
n	2	0	5																																																	
n	3	0	6																																																	
n	4	0	6																																																	
																																																				
k	0	0	0	970	985	2767	2805	2809	2820	1256	1281	1299	1317	1335																																						-1
k	0	0	1	970	988	1006	1021	1039	1057	1075	1093	1111	1129	1147	1165	77	102	1310	1335																																	-1
k	0	0	2	970	988	1006	1035	1053	1071	1089	473	478	1108	1126	1144	1162	1180	1198	1216	1234	1252	1270	1281	1299	1317	1335																										-1
k	0	0	3	970	988	1006	1035	1053	1071	1089	1107	1125	3211	3214	3220	1162	1180	1198	1216	1234	1252	1270	1281	1299	1317	1335																										-1
k	0	0	4	970	999	453	456	462	1036	1054	1072	1090	1108	1126	1144	1162	1180	1198	1216	1234	1252	1270	1281	1299	1317	1335																										-1
k	0	0	5	1348	1366	1384	1399	129	167	171	182	1670	1695	1713																																						-1
k	0	0	6	1348	1366	1384	1399	1417	1435	1453	1471	1489	1507	1525	157	182	1670	1695	1713																																	-1
k	1	0	0	971	987	39	73	1183	1201	1219	1237	1255	1273	1291	1309	1327	1354	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786											-1
k	1	0	1	971	987	39	96	100	125	1417	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786																						-1
k	1	0	2	971	987	39	96	1290	1322	1340	528	533	1359	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786															-1
k	1	0	3	971	989	1007	1023	1041	1059	1077	1095	1113	1131	1149	1167	2809	2820	2824	2858	2862	2866	2904	2908	2931	1759	1786																										-1
k	1	0	4	971	989	1007	1023	1041	1059	1077	1095	1113	1131	1149	1167	2809	2820	1256	1288	1306	1324	526	528	533	1359	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786			-1
k	1	0	5	971	989	1007	1023	1041	1059	1077	1095	1113	1131	1149	1167	2809	2820	1256	1288	1306	1324	1342	1360	534	537	1377	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786			-1
k	1	0	6	971	989	1007	1023	1041	1059	1077	1095	1113	1131	1149	1167	2809	2820	1256	1288	3248	3253	3259	1341	1354	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786				-1
k	1	0	7	971	989	1007	1037	463	466	468	473	1089	1107	1125	1143	1161	1179	1197	1215	1233	1251	1269	1287	1305	1323	1341	1354	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786	-1
k	1	0	8	971	989	1007	1037	1055	1073	471	474	477	1107	1125	1143	1161	1179	1197	1215	1233	1251	1269	1287	1305	1323	1341	1354	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786	-1
k	1	0	9	971	989	1007	1037	1055	1073	1091	3205	3211	1125	1143	1161	1179	1197	1215	1233	1251	1269	1287	1305	1323	1341	1354	1372	1390	1408	1426	1444	1462	1480	1498	1516	1534	1552	1570	1588	1606	1624	1642	1660	1678	1696	1714	1732	1750	1768	1786		-1
k	1	0	10	1349	1367	1385	1401	1419	1437	1455	1473	1491	1509	1527	1545	1563	1581	171	182	1670	1702	610	612	617	1737	1750	1768	1786	1804	1822	1840	1858	1876	1894	1912	1930	1948	1966	1984	2002	2020	2038	2056	2074	2092	2110	2128	2146	2164			-1
k	1	0	11	1349	1367	1385	1401	1419	1437	1455	1473	1491	1509	1527	1545	1563	1581	171	182	1670	1702	1720	1738	618	621	1755	1768	1786	1804	1822	1840	1858	1876	1894	1912	1930	1948	1966	1984	2002	2020	2038	2056	2074	2092	2110	2128	2146	2164			-1
k	2	0	0	882	900	918	930	948	966	984	1002	1020	1038	1056	1074	1092	60	98	1292	1324	526	528	533	1359	1373	1391	1409																									-1
k	2	0	1	882	900	918	930	948	966	984	1002	1020	1038	1056	1074	1092	60	98	1292	1324	1342	1360	534	537	1377	1391	1409																									-1
k	2	0	2	882	900	918	944	962	444	449	981	999	1017	1035	1053	1067	1085	1103	1121	1139	1157	1175	1193	1211	1229	1247	1265	1283	1301	1319	1337	1355	1373	1391	1409																	-1
k	2	0	3	1260	1272	100	125	1417	1445	1463	1481	1499	1517	1535	1553	1571	1589	1607	1625	1643	1661	1679	1697	1715	1733	1751	1769	1787																								-1
k	2	0	4	1260	1278	1296	1308	1326	1344	1362	1380	1398	1416	2862	2866	2904	2908	2931	1759	1787																																-1
k	3	0	0	883	901	919	937	962	444	449	454	459	1019	1037	1055	1068	1086	1104	1122	1140	1158	1176	1194	1212	1230	1248	1266	1284	1302	1320																						-1
k	3	0	1	883	901	919	937	962	980	998	1016	456	462	467	1055	1068	1086	1104	1122	1140	1158	1176	1194	1212	1230	1248	1266	1284	1302	1320																						-1
k	3	0	2	1261	1272	100	125	129	167	1599	1626	1644	1662	1680	1698																																					-1
k	3	0	3	1261	1272	100	125	1417	1449	1467	557	562	567	1505	1518	1536	1554	1572	1590	1608	1626	1644	1662	1680	1698																											-1
k	3	0	4	1261	1272	100	125	1417	1449	1467	1485	561	564	570	575	1541	1554	1572	1590	1608	1626	1644	1662	1680	1698																											-1
k	3	0	5	1261	1279	1297	1315	1333	1351	1369	1380	1398	1416	2862	2866	2904	1634	1666	3332	3337	1685	1698																														-1
k	4	0	0	884	902	914	22	35	1005	1037	463	466	468	1070	1087	1105	1123	1141	1159	1177	1195	1213	1231	1249	1267	1285	1303																									-1
k	4	0	1	884	902	914	22	56	1110	1141	1159	1177	1195	1213	1231	1249	1267	1285	1303																																	-1
k	4	0	2	884	902	920	946	442	444	962	980	998	1016	1034	1052	1069	1087	1105	1123	1141	1159	1177	1195	1213	1231	1249	1267	1285	1303																							-1
k	4	0	3	884	902	920	946	964	982	450	453	456	1016	1034	1052	1069	1087	1105	1123	1141	1159	1177	1195	1213	1231	1249	1267	1285	1303																							-1
k	4	0	4	884	910	3164	3169	3175	3178	980	998	1016	1034	1052	1069	1087	1105	1123	1141	1159	1177	1195	1213	1231	1249	1267	1285	1303																								-1
k	4	0	5	1262	1280	1292	106	140	1488	1519	1537	1555	1573	1591	1609	1627	1645	1663	1681																																	-1
																																																				
																																																				
																																																				
																																																				
