c	n	which network, [0]:sea; [1]:air; [2]:dummy; [3]:exist_sea; [4]:exist_air;				
c	tail	arc from, i				
c	head	arc to, j				
c	m_p	margin revenue per cubic meter transported on arc(i, j) in G[S] & G[A] & G[E]				
c	fo_c	fixed operating cost on arc (i, j) in G[S] & G[A]				
c	l_c	unit loading and unloading cost on arc(i, j) in G[D]				
c	s_c	unit holding and transporting cost on arc(i, j) in G[D]				
						
n	0					
c	tail	head	r	v_c	fo_c	tij
c	tail	head	r	v_c	fo_c	tij
a	18	22	0	10	18	1
a	22	35	521	17	1294	3
a	22	56	239	8	1144	9
a	35	39	0	10	18	1
a	39	73	389	35	632	9
a	39	96	315	25	2257	15
a	56	60	0	10	19	1
a	60	98	239	8	1144	9
a	73	77	0	10	19	1
a	77	102	313	14	2166	6
a	96	100	0	10	19	1
a	98	102	0	10	18	1
a	100	125	363	49	2858	6
a	102	106	0	10	18	1
a	102	115	521	17	1294	3
a	102	125	313	14	2166	6
a	106	140	239	8	1144	9
a	115	119	0	10	18	1
a	119	153	389	35	632	9
a	125	129	0	10	19	1
a	129	167	389	35	632	9
a	140	144	0	10	19	1
a	144	148	0	10	19	1
a	148	186	239	8	1144	9
a	153	157	0	10	19	1
a	157	182	313	14	2166	6
a	167	171	0	10	18	1
a	171	182	521	17	1294	3
a	182	186	0	10	18	1
a	186	190	0	10	18	1
a	190	203	521	17	1294	3
a	190	224	239	8	1144	9
a	203	207	0	10	18	1
a	207	241	389	35	632	9
a	207	264	315	25	2257	15
a	224	228	0	10	19	1
a	228	266	239	8	1144	9
a	241	245	0	10	19	1
a	245	270	313	14	2166	6
a	264	268	0	10	19	1
a	266	270	0	10	18	1
a	268	293	363	49	2858	6
a	270	274	0	10	18	1
a	270	283	521	17	1294	3
a	270	293	313	14	2166	6
a	274	308	239	8	1144	9
a	283	287	0	10	18	1
a	287	321	389	35	632	9
a	293	297	0	10	19	1
a	297	335	389	35	632	9
a	308	312	0	10	19	1
a	312	316	0	10	19	1
a	316	354	239	8	1144	9
a	321	325	0	10	19	1
a	325	350	313	14	2166	6
a	335	339	0	10	18	1
a	339	350	521	17	1294	3
a	350	354	0	10	18	1
t	58					
