c	n	which network, [0]:sea; [1]:air; [2]:dummy; [3]:exist_sea; [4]:exist_air;					
c	tail	arc from, i					
c	head	arc to, j					
c	m_p	margin revenue per cubic meter transported on arc(i, j) in G[S] & G[A] & G[E]					
							
n	3						
c	no	tail	head	r	v_c	fo_c	tij
a	0	2740	2763	313	14	2166	6
a	0	2763	2767	0	10	19	1
a	0	2767	2805	389	35	632	9
a	0	2805	2809	0	10	18	1
a	0	2809	2820	521	17	1294	3
a	0	2820	2824	0	10	18	1
a	0	2824	2858	239	8	1144	9
a	0	2858	2862	0	10	19	1
a	0	2862	2866	0	10	19	1
a	0	2866	2904	239	8	1144	9
a	0	2904	2908	0	10	18	1
a	0	2908	2931	313	14	2166	6
a	0	2931	2935	0	10	19	1
a	0	2935	2973	389	35	632	9
a	0	2973	2977	0	10	18	1
a	0	2977	2988	521	17	1294	3
a	0	2988	2992	0	10	18	1
a	0	2992	3026	239	8	1144	9
a	0	3026	3030	0	10	19	1
a	0	3030	3034	0	10	19	1
a	0	3034	3072	239	8	1144	9
a	0	3072	3076	0	10	18	1
t	22						
