c	n	which network, [0]:sea; [1]:air; [2]:dummy; [3]:exist_sea; [4]:exist_air;					
c	tail	arc from, i					
c	head	arc to, j					
c	m_p	margin revenue per cubic meter transported on arc(i, j) in G[S] & G[A] & G[E]					
							
n	4						
c	no	tail	head	r	v_c	fo_c	tij
a	0	3164	3169	1706	441	3707	1
a	0	3169	3175	1581	457	4664	2
a	0	3175	3178	1651	250	5621	1
a	0	3178	3184	785	481	2540	1
a	0	3200	3205	1706	441	3707	1
a	0	3205	3211	1581	457	4664	2
a	0	3211	3214	1651	250	5621	1
a	0	3214	3220	785	481	2540	1
a	0	3248	3253	1706	441	3707	1
a	0	3253	3259	1581	457	4664	2
a	0	3259	3262	1651	250	5621	1
a	0	3262	3268	785	481	2540	1
a	0	3284	3289	1706	441	3707	1
a	0	3289	3295	1581	457	4664	2
a	0	3295	3298	1651	250	5621	1
a	0	3298	3304	785	481	2540	1
a	0	3332	3337	1706	441	3707	1
a	0	3337	3343	1581	457	4664	2
a	0	3343	3346	1651	250	5621	1
a	0	3346	3352	785	481	2540	1
t	20						
