20
3900,Y2,`9,`10,e12,e13,I20,I21,D30,D31,Y33
4000,Y9,_13,_14,^16,^17,g26,g27,[36,[37,Y39
4000,c3,E7,E8,T14,T15,c19,c20,a23,a24,P26,P27,c35
4200,T3,a10,a11,\17,\18,R22,R23,S28,S29,T35
3700,U5,N8,N9,G13,G14,T16,T17,M23,M24,G26,G27,U32
3700,[8,K11,K12,U14,U15,N17,N18,[25,[26,^32,^33,[39
4500,R8,X14,X15,Z17,Z18,E24,E25,f32,f33,R41
3800,]1,K11,K12,H14,H15,b23,b24,]29
4900,Q0,Y5,Y6,Z9,Z10,M12,M13,B22,B23,Q28
4200,K0,[3,[4,\11,\12,V19,V20,\27,\28,K30
3200,C4,_13,_14,e16,e17,f21,f22,A28,A29,C34
3500,C2,h12,h13,d16,d17,P26,P27,C34
3700,V6,I12,I13,a17,a18,S26,S27,`29,`30,V33
3400,E4,J7,J8,h14,h15,M23,M24,P30,P31,E34
4600,A0,]6,]7,R13,R14,T21,T22,A26
3500,B6,^13,^14,h21,h22,K24,K25,C30,C31,B34
4000,A8,Z18,Z19,W27,W28,F30,F31,A36
4200,B7,a13,a14,O21,O22,Q28,Q29,B34
5000,D6,]14,]15,`21,`22,K26,K27,N29,N30,D33
5000,H8,b17,b18,G21,G22,b25,b26,N31,N32,H36
