0.05	0.19	0.38	0.45	0.85	0.11	0.63	0.1	0.68	0.21	0.07	0.67	0.81	0.57	0.57	0.95	0.53	0.01	0.56	0.94	0.24	0.79	0.03	0.72	0.23	0.78	0.62	0.51	0.31	0.59	0.44	0.12	0.97	0.58	0.55	0.78	0.57	0.83	0.35	0.99	1.0	0.92	0.72	0.54	0.47	0.27	0.6	0.5	0.91	0.89
0.6	0.05	0.54	0.71	0.69	0.22	0.36	0.84	0.47	0.69	0.24	0.13	0.44	0.58	0.89	0.33	0.1	0.48	0.63	0.13	0.01	0.28	0.61	0.85	0.88	0.91	0.7	0.11	0.64	0.56	0.3	0.41	0.13	0.78	0.83	0.43	0.43	0.74	0.76	0.98	0.12	0.37	0.14	0.12	0.33	0.89	0.11	0.35	0.28	0.67
0.69	0.41	0.57	0.2	0.35	0.6	0.79	0.42	0.52	0.4	0.88	0.75	0.37	0.48	0.03	0.05	0.92	0.78	0.92	0.41	0.71	0.45	0.75	0.53	0.56	0.72	0.03	0.79	0.71	0.49	0.28	0.06	0.21	0.41	0.66	0.99	0.76	0.75	0.32	0.67	0.71	0.57	0.6	0.64	0.75	0.74	0.54	1.0	0.75	0.07
0.43	0.53	0.01	0.86	0.65	0.61	0.97	0.95	0.75	0.53	0.41	0.22	0.36	0.59	0.57	0.06	0.34	0.73	0.55	0.72	0.49	0.71	0.42	0.58	0.33	0.99	0.15	0.49	0.2	0.85	0.57	0.92	0.5	0.14	0.91	0.42	0.53	0.78	0.15	0.66	0.0	0.02	0.75	0.72	0.49	0.96	0.16	0.48	0.43	0.86
0.56	0.76	0.11	0.99	0.3	0.4	0.8	0.83	0.92	0.04	0.75	0.38	0.8	0.53	0.42	0.76	0.46	0.62	0.82	0.47	0.9	0.75	0.93	0.21	0.51	0.81	0.12	0.14	0.54	0.8	0.5	0.59	0.2	0.7	0.2	0.47	0.53	0.74	0.16	0.45	0.92	0.21	0.03	0.91	0.04	0.23	0.58	0.62	0.7	0.22
0.6	0.78	0.84	0.37	0.85	0.74	0.71	0.6	0.73	0.64	0.47	0.99	0.63	0.18	0.64	0.36	0.72	0.59	0.63	0.61	0.57	0.67	0.54	0.99	0.15	0.12	0.88	0.97	0.5	0.95	0.15	0.29	0.69	0.21	0.35	0.99	0.46	0.59	0.66	0.81	0.61	0.36	0.66	0.12	0.68	0.08	0.98	0.74	0.47	0.35
0.45	0.63	0.67	0.3	0.45	0.51	0.13	0.82	0.63	1.0	0.23	0.2	0.38	0.52	0.98	0.64	0.29	0.36	0.37	0.9	0.85	0.96	0.92	0.19	0.96	0.04	0.73	0.47	0.77	0.93	0.67	0.06	0.6	0.48	0.1	0.86	0.41	0.86	0.88	0.65	0.89	0.05	0.07	0.89	0.41	0.83	0.91	1.0	0.12	0.56
0.72	0.63	0.31	0.19	0.28	0.79	0.63	0.77	0.3	0.26	0.59	0.78	0.85	0.1	0.9	0.36	0.41	0.67	0.24	0.95	0.4	0.48	0.83	0.24	0.68	0.47	0.56	0.82	0.84	0.84	0.99	0.56	0.41	0.08	0.43	0.13	0.75	0.68	0.77	0.18	0.19	0.8	0.25	0.66	0.7	0.23	0.7	0.64	0.54	0.09
0.85	0.1	0.61	0.49	0.25	0.97	0.24	0.87	0.02	0.88	0.66	0.25	0.37	0.61	0.51	0.1	0.02	0.15	0.13	0.76	0.02	1.0	0.61	0.74	0.76	0.25	0.15	0.3	0.51	0.34	0.06	0.34	0.91	0.27	0.15	0.17	0.02	0.93	0.86	0.1	0.09	0.03	0.1	0.28	0.59	0.16	0.15	0.27	0.64	0.72
0.69	0.17	0.19	0.6	0.06	0.81	0.49	0.49	0.61	0.52	0.37	0.33	0.87	0.04	0.65	0.6	0.48	0.07	0.48	0.39	0.93	0.88	0.94	0.74	0.24	0.98	0.21	0.62	0.9	0.83	0.47	0.62	0.59	0.79	0.94	0.92	0.8	0.61	0.98	0.87	0.03	0.84	0.3	0.31	0.62	0.19	0.96	0.58	0.4	0.27
