20
1000	40	160	180	30	90	170	180	110	80	40	190	180	130	50	100	140	40	160	70
40	1000	140	150	160	120	110	170	80	120	140	70	170	100	170	150	40	30	100	70
160	140	1000	90	120	200	140	100	130	200	170	160	180	50	130	190	80	100	160	100
180	150	90	1000	40	40	180	120	50	200	50	70	150	140	70	60	60	170	80	90
30	160	120	40	1000	140	160	160	170	100	110	70	190	80	60	110	170	120	80	80
90	120	200	40	140	1000	80	180	140	130	160	100	30	200	40	130	130	100	50	110
170	110	140	180	160	80	1000	170	150	80	150	180	100	190	110	190	180	180	50	80
180	170	100	120	160	180	170	1000	180	170	150	70	160	200	140	200	150	180	80	200
110	80	130	50	170	140	150	180	1000	170	60	160	40	30	170	200	50	40	140	50
80	120	200	200	100	130	80	170	170	1000	70	60	170	180	70	170	160	190	170	130
40	140	170	50	110	160	150	150	60	70	1000	110	170	160	130	190	190	70	100	130
190	70	160	70	70	100	180	70	160	60	110	1000	40	90	180	30	60	120	160	100
180	170	180	150	190	30	100	160	40	170	170	40	1000	120	50	40	200	60	120	80
130	100	50	140	80	200	190	200	30	180	160	90	120	1000	180	70	140	150	90	140
50	170	130	70	60	40	110	140	170	70	130	180	50	180	1000	80	50	90	160	90
100	150	190	60	110	130	190	200	200	170	190	30	40	70	80	1000	60	120	170	190
140	40	80	60	170	130	180	150	50	160	190	60	200	140	50	60	1000	160	170	200
40	30	100	170	120	100	180	180	40	190	70	120	60	150	90	120	160	1000	90	110
160	100	160	80	80	50	50	80	140	170	100	160	120	90	160	170	170	90	1000	140
70	70	100	90	80	110	80	200	50	130	130	100	80	140	90	190	200	110	140	1000
