12
1000	200	60	100	30	90	160	110	80	150	80	50
200	1000	70	170	70	70	30	30	90	90	80	80
60	70	1000	120	130	90	200	90	80	90	150	120
100	170	120	1000	30	140	160	80	70	110	50	130
30	70	130	30	1000	120	30	130	50	120	140	120
90	70	90	140	120	1000	180	130	80	180	180	80
160	30	200	160	30	180	1000	40	110	30	140	150
110	30	90	80	130	130	40	1000	30	200	160	140
80	90	80	70	50	80	110	30	1000	150	30	170
150	90	90	110	120	180	30	200	150	1000	40	80
80	80	150	50	140	180	140	160	30	40	1000	90
50	80	120	130	120	80	150	140	170	80	90	1000
