0.98	3.97	2.17	8.54	0.85	0.71	10.73	4.58	4.93	14.04	4.13	4.68
6.05	0.55	6.07	4.6	6.97	1.37	1.76	1.87	1.63	6.83	1.44	5.75
5.92	6.86	0.17	10.7	1.44	8.71	9.65	4.93	3.32	3.16	9.94	0.86
2.04	12.21	4.49	0.35	2.86	11.98	13.86	5.51	3.83	10.61	2.75	3.92
0.89	3.59	12.36	0.88	0.35	1.55	1.23	7.33	2.69	5.61	2.19	4.59
4.29	1.39	1.2	1.27	9.85	0.66	6.87	4.24	7.33	9.71	5.86	7.01
9.03	1.29	19.53	7.89	1.44	12.75	0.38	3.42	1.75	1.78	10.37	4.51
2.76	0.06	8.51	2.46	12.08	1.86	0.1	0.66	2.88	4.91	0.64	1.91
3.14	4.32	4.48	1.7	2.37	0.29	5.39	2.53	0.72	4.29	1.48	16.87
7.77	7.77	7.93	9.85	0.19	2.27	0.85	14.16	9.2	0.73	0.11	2.8
5.45	6.5	1.99	0.01	7.75	12.34	1.51	11.0	0.57	1.72	0.81	5.35
3.45	7.63	7.79	11.16	10.09	3.81	10.23	10.07	15.28	3.72	6.82	0.3
