99999	0.94	0.25	0.88	0.77	0.61	0.09	0.03	0.01	0.25	0.76	0.39	0.78	0.63	0.39	0.88	0.04	0.47	0.83	0.13
0.71	99999	0.33	0.02	0.47	0.52	0.04	0.57	0.35	0.0	0.19	0.11	0.54	0.04	0.93	0.85	0.95	0.31	0.91	0.98
0.76	0.28	99999	0.67	0.6	0.4	0.31	0.06	0.13	0.13	0.48	0.64	0.76	0.05	0.82	0.04	0.55	0.74	0.63	0.95
0.34	0.59	0.08	99999	0.56	0.81	0.2	0.26	0.7	0.25	0.26	0.94	1.0	0.16	0.9	0.55	0.04	0.59	0.64	0.03
0.76	0.82	0.07	0.65	99999	0.46	0.24	0.46	0.16	0.33	0.66	0.48	0.56	0.54	0.82	0.34	0.81	0.08	0.43	0.35
0.45	0.83	0.51	0.99	0.86	99999	0.12	0.32	0.02	0.73	0.02	0.89	0.19	0.41	0.06	0.31	0.39	0.05	0.77	0.71
0.36	0.84	0.08	0.05	0.35	0.9	99999	0.76	0.67	0.56	0.8	0.41	0.03	0.8	0.19	0.39	0.36	0.12	0.35	0.18
0.62	0.65	0.01	0.46	0.55	0.87	0.5	99999	0.08	0.05	0.86	0.79	0.86	0.26	0.65	0.1	0.83	0.33	0.96	0.47
0.03	0.91	0.63	0.29	0.04	0.38	0.16	0.55	99999	0.15	0.17	0.92	0.64	0.24	0.88	0.62	0.95	0.48	0.89	0.68
0.04	0.24	0.28	0.17	0.24	0.23	0.88	0.46	0.88	99999	0.14	0.56	0.01	0.93	0.01	0.39	0.8	1.0	0.02	0.82
0.51	0.04	0.78	0.11	0.61	0.78	0.67	0.38	0.03	0.44	99999	0.91	0.33	0.25	0.14	0.51	0.53	0.07	0.41	0.66
0.97	0.43	0.44	0.47	0.23	0.39	0.65	0.4	0.58	0.84	1.0	99999	0.89	0.37	0.02	0.61	0.47	0.24	0.04	0.32
0.8	0.96	0.11	0.88	0.05	0.71	0.03	0.42	0.87	0.39	0.92	0.71	99999	0.6	0.16	0.34	0.41	0.59	1.0	0.28
0.5	0.93	0.35	0.63	0.77	0.63	0.75	0.2	0.96	0.18	0.58	0.3	0.63	99999	0.29	0.43	0.68	0.27	0.73	0.35
0.13	0.61	0.17	0.43	0.4	0.08	0.71	0.68	0.78	0.54	0.55	0.17	0.21	0.23	99999	0.53	0.82	0.36	0.88	0.74
0.72	0.34	0.12	0.96	0.85	0.41	0.86	0.9	0.34	0.5	0.33	0.7	0.91	0.98	0.74	99999	0.31	0.88	0.99	0.35
0.95	0.51	0.96	1.0	0.81	0.68	0.15	0.0	0.6	0.7	0.94	0.52	0.7	0.65	0.2	0.64	99999	0.98	0.11	0.69
0.61	0.38	0.79	0.01	0.89	0.82	0.48	0.11	0.45	0.58	0.25	0.49	0.78	0.92	0.56	0.83	0.08	99999	0.86	0.92
0.17	0.83	0.85	0.88	0.52	0.61	0.21	0.71	0.41	0.02	0.13	0.39	0.89	0.56	0.92	0.93	0.09	0.59	99999	0.33
0.51	0.46	0.48	0.1	0.83	0.49	0.64	0.47	0.18	0.54	0.16	0.85	0.83	0.14	0.07	0.07	0.39	0.95	0.56	99999
