99999	0.05	0.2	0.29	0.75	0.1	0.42	0.31	1.5	1.11	0.9	1.31
0.76	99999	1.15	0.44	0.82	0.66	0.95	0.73	0.7	0.54	1.62	0.38
0.13	0.13	99999	0.17	0.26	1.35	0.29	0.06	0.76	0.56	0.03	0.1
0.13	0.36	0.86	99999	0.95	1.22	0.23	0.43	0.72	0.33	0.01	1.17
1.65	0.73	0.1	0.53	99999	0.17	1.42	0.89	1.88	1.59	0.24	0.32
0.91	0.46	0.87	0.88	0.77	99999	0.94	1.07	0.97	1.19	0.1	1.63
0.42	0.05	0.98	0.03	1.15	0.48	99999	0.88	0.39	0.43	0.55	0.2
0.56	0.36	0.75	0.24	0.7	0.5	0.98	99999	0.84	1.7	1.24	0.8
0.29	0.83	0.49	0.08	0.34	0.1	0.72	0.9	99999	0.2	0.8	0.32
1.37	1.73	0.62	0.8	0.75	0.02	1.02	1.17	0.18	99999	0.78	0.32
0.03	0.62	0.38	0.48	1.41	0.4	1.96	1.63	0.92	1.39	99999	0.67
1.07	0.8	0.73	1.19	0.68	1.04	0.28	0.16	0.09	0.36	0.58	99999
