99999	0.99	0.66	0.36	0.22	0.55	0.58	0.79	0.76	0.31	0.22	0.92	0.48	0.18	0.24	0.91	0.97	1.0	0.05	0.84	0.65	0.32	0.54	0.05	0.91	0.02	0.18	0.07	0.49	0.78	1.0	0.5	0.06	0.44	0.13	0.93	0.04	0.17	0.89	0.89
0.1	99999	0.67	0.72	0.32	0.53	0.65	0.44	0.57	0.25	0.27	0.38	0.39	0.18	0.95	0.29	0.94	0.26	0.21	0.86	0.23	0.01	0.84	0.32	0.07	0.01	0.37	0.66	0.05	0.56	0.27	0.17	0.6	0.56	0.25	0.09	0.79	0.8	0.99	0.97
0.53	0.93	99999	0.06	0.35	0.62	0.85	0.43	0.45	0.41	0.98	0.25	0.78	0.9	0.92	0.88	0.54	0.89	0.61	0.42	0.7	0.02	0.18	0.86	0.9	0.98	0.71	0.04	0.81	0.32	0.74	0.01	0.01	0.37	0.07	0.85	0.22	0.6	0.92	0.35
0.54	0.42	0.1	99999	0.93	0.88	0.15	0.43	0.01	0.96	0.59	0.33	0.0	0.21	0.57	0.75	0.71	0.61	0.56	0.49	0.22	0.48	0.59	0.91	0.43	0.3	0.44	0.25	0.49	0.09	0.7	0.0	0.27	0.52	0.64	0.99	0.99	0.72	0.38	0.87
0.66	0.68	0.33	0.82	99999	0.36	0.33	0.59	0.06	0.03	0.44	0.41	0.73	0.28	0.84	0.9	0.86	0.09	0.83	0.24	0.86	0.98	0.32	0.16	0.79	0.77	0.88	0.82	0.81	0.09	0.87	0.12	0.81	0.96	0.8	0.38	0.39	0.32	0.94	0.53
0.71	0.31	0.68	0.82	0.97	99999	0.17	0.5	0.3	0.1	0.39	0.76	1.0	0.35	0.72	0.9	0.37	0.59	0.98	0.68	0.35	0.0	0.96	0.69	0.84	0.24	0.84	0.29	0.67	0.57	0.43	0.25	0.76	0.7	0.58	0.21	0.96	0.93	0.15	0.46
0.54	0.75	0.12	0.18	0.84	0.45	99999	0.17	0.74	0.86	0.16	0.0	0.71	0.44	0.84	0.05	0.56	0.85	0.5	0.95	0.93	0.74	0.46	0.8	0.73	0.01	0.11	0.26	0.88	0.39	0.92	0.09	0.12	0.4	0.74	0.73	0.21	0.31	0.12	0.8
0.22	0.86	0.39	0.04	0.1	0.69	0.45	99999	0.37	0.97	0.99	0.16	0.71	0.27	0.86	0.85	0.69	0.32	0.29	0.98	0.95	0.55	0.11	0.69	0.24	0.92	0.41	0.14	0.87	0.74	0.22	0.94	0.74	0.29	0.05	0.63	0.39	0.28	0.93	0.03
0.4	0.01	0.56	0.29	0.02	0.38	0.55	0.62	99999	0.76	0.49	0.79	0.09	0.05	0.41	0.25	0.81	0.0	0.09	0.74	0.78	0.79	0.21	0.44	0.37	0.34	0.92	0.73	0.72	0.01	0.39	0.59	0.42	0.33	0.15	0.22	0.21	0.4	0.95	0.74
0.77	0.77	0.66	0.65	0.54	0.04	0.81	0.19	0.02	99999	0.32	0.12	0.24	0.32	0.4	0.32	0.18	0.77	0.25	0.38	0.39	0.8	0.59	0.92	0.6	0.25	0.75	0.01	0.18	0.3	0.32	0.51	0.98	0.41	0.74	0.44	0.18	0.09	0.37	0.36
0.79	0.04	0.52	0.69	0.63	0.09	0.86	0.57	0.98	0.08	99999	0.95	0.14	0.96	0.87	0.29	0.07	0.08	0.14	0.59	0.98	0.53	0.6	0.13	0.9	0.69	0.1	0.79	0.76	0.83	0.83	0.35	0.26	0.47	0.71	0.24	0.87	0.76	0.29	0.35
0.38	0.33	0.94	0.6	0.15	0.23	0.89	0.3	0.25	0.15	0.09	99999	0.92	0.5	0.81	0.09	0.23	0.68	0.16	0.28	0.03	0.08	0.26	0.32	0.89	0.14	0.67	0.69	0.64	0.59	0.42	0.36	0.57	0.1	0.44	0.87	0.43	0.11	0.44	0.31
0.27	0.39	0.13	0.41	0.14	0.52	0.92	0.23	0.2	0.3	0.3	0.46	99999	0.91	0.6	0.34	0.29	0.7	0.5	0.02	0.99	0.02	0.72	0.08	0.29	0.51	0.65	0.91	0.98	0.93	0.59	0.22	0.08	0.66	0.58	0.66	0.38	0.12	0.09	0.27
0.81	0.36	0.24	0.29	0.19	0.15	0.65	0.21	0.9	0.15	0.27	0.02	0.26	99999	0.63	0.63	0.51	0.24	0.93	0.24	0.64	0.06	0.37	0.43	0.57	0.07	0.64	0.35	0.09	0.07	0.43	0.34	0.32	0.68	0.9	0.99	0.53	0.94	0.84	0.14
0.41	0.19	0.69	0.04	0.31	0.2	0.9	0.44	0.52	0.53	0.12	0.94	0.01	0.18	99999	0.57	0.41	0.13	0.75	0.44	0.46	0.32	0.76	0.52	0.73	0.44	0.09	0.06	0.64	0.78	0.65	0.08	0.87	0.38	0.39	0.71	0.19	0.98	0.94	0.04
0.5	0.31	0.57	0.69	0.95	0.06	0.17	0.27	0.4	0.25	0.72	0.2	0.48	0.64	0.32	99999	0.03	0.75	0.15	0.27	0.9	0.73	0.51	0.59	0.79	0.91	0.85	0.42	0.46	0.41	0.41	0.84	0.21	0.01	0.58	0.99	0.63	0.96	0.77	0.18
0.38	0.2	0.89	0.73	0.85	0.98	0.91	0.02	0.03	0.7	0.28	0.27	0.6	0.41	0.08	0.02	99999	0.22	0.53	0.02	0.33	0.99	0.06	0.53	0.23	0.54	0.45	0.48	0.88	0.57	0.96	0.57	0.56	0.46	0.78	0.58	0.11	0.96	0.05	0.65
0.04	0.43	0.92	0.93	0.48	0.02	0.0	0.68	0.21	0.78	0.59	0.09	0.11	0.87	0.41	0.71	0.19	99999	0.99	0.75	0.18	0.43	0.22	0.95	0.68	0.67	0.4	0.94	0.39	0.38	0.3	0.27	0.14	0.58	0.66	0.32	0.22	0.06	0.4	0.41
0.24	0.37	0.16	0.83	0.54	0.71	0.78	0.9	0.52	0.47	0.02	0.85	0.18	0.44	0.7	0.13	0.3	0.5	99999	0.81	0.16	0.19	0.85	1.0	0.13	0.57	0.9	0.22	0.41	0.49	0.65	0.53	0.07	0.44	0.69	0.81	0.19	0.35	0.93	0.91
0.26	0.69	0.31	0.81	0.93	0.22	0.41	0.94	0.01	0.87	0.77	0.43	0.59	0.38	0.56	0.04	0.72	0.07	0.76	99999	0.19	0.69	0.72	0.58	0.58	0.82	0.89	0.32	0.7	0.66	0.49	0.3	0.47	0.06	0.25	0.79	0.3	0.25	0.66	0.97
0.22	0.98	0.99	0.88	0.64	0.23	0.87	0.82	0.9	0.51	0.17	0.81	0.18	0.55	0.55	0.2	0.96	0.95	0.48	0.23	99999	0.3	0.77	0.62	0.06	0.28	0.29	0.56	0.27	0.62	0.68	0.47	0.71	0.55	0.38	0.87	0.72	0.75	0.83	0.84
0.47	0.13	0.37	0.96	0.7	0.72	0.18	0.9	0.3	0.84	0.52	0.52	0.48	0.84	0.63	0.04	0.7	0.21	0.58	0.28	0.07	99999	0.73	0.79	0.45	0.16	0.61	0.08	0.06	0.18	0.34	0.33	0.08	0.65	0.37	0.94	0.88	0.03	0.7	0.84
0.59	0.65	0.59	0.15	0.11	0.77	0.81	0.92	0.68	0.55	0.45	0.85	0.45	0.48	0.31	0.73	0.67	0.49	0.21	0.32	0.49	0.84	99999	0.15	0.29	0.86	0.31	0.11	0.13	0.59	0.04	0.76	0.49	0.34	0.27	0.83	0.48	0.11	0.77	0.03
0.65	0.42	0.58	0.39	0.58	0.07	0.1	0.27	0.59	0.83	0.82	0.71	0.37	0.18	0.38	0.93	0.71	0.81	0.74	0.56	0.43	0.26	0.98	99999	0.62	0.44	0.24	0.1	0.7	0.0	0.62	0.36	0.74	0.74	0.24	0.08	0.74	0.48	0.08	0.58
0.03	0.86	0.99	0.1	0.42	0.91	0.94	0.38	0.35	0.6	0.57	0.04	0.64	0.2	0.66	0.55	0.74	0.52	0.98	0.01	0.5	0.89	0.07	0.64	99999	0.46	0.81	0.09	0.84	0.16	0.55	0.9	0.96	0.73	0.82	0.19	0.85	0.47	0.07	0.87
0.81	0.03	0.38	0.62	0.95	0.77	0.87	0.58	0.08	0.57	0.85	0.44	0.73	0.03	0.04	0.37	0.12	0.42	0.61	0.1	0.19	0.87	0.18	0.01	0.42	99999	0.14	0.63	0.73	0.14	0.95	0.68	0.4	0.12	0.53	0.71	0.6	0.11	0.84	0.08
0.04	0.65	0.33	0.19	0.11	0.13	0.22	0.85	0.69	0.54	0.1	0.13	0.66	0.59	0.82	0.15	0.18	0.49	0.83	0.14	0.93	0.69	0.69	0.35	0.85	0.34	99999	0.27	0.41	0.65	0.32	0.02	0.66	0.48	0.29	0.79	0.68	0.2	0.02	0.49
0.31	0.96	0.75	0.01	0.37	0.81	0.87	0.65	0.24	0.19	0.78	0.93	0.18	0.26	0.1	0.17	0.86	0.58	0.87	0.41	0.41	0.23	0.56	0.83	0.08	0.09	0.43	99999	0.31	0.5	0.99	0.41	0.4	0.4	0.03	0.28	0.52	0.91	0.3	0.49
0.62	0.13	0.03	0.71	0.39	0.0	0.23	0.1	0.39	0.28	0.78	0.02	0.29	0.55	0.07	0.71	0.59	0.82	0.23	0.24	0.78	0.08	0.89	0.46	0.02	0.76	0.76	0.87	99999	0.8	0.43	0.38	0.33	0.77	0.14	0.64	0.01	0.76	0.2	0.82
0.44	0.76	0.65	0.99	0.52	0.85	0.78	0.6	0.91	0.68	0.71	0.38	0.1	0.41	0.06	0.32	0.31	0.17	0.13	0.03	0.63	0.65	0.96	0.09	0.92	0.23	0.44	0.86	0.57	99999	0.85	0.79	0.64	0.47	0.92	0.84	0.66	0.64	0.74	0.05
0.92	0.11	0.17	0.7	0.77	0.26	0.7	0.31	0.09	0.46	0.63	0.29	0.16	0.87	0.85	0.64	0.84	0.13	0.15	0.7	0.39	0.19	0.49	0.91	0.62	0.02	0.7	0.39	0.86	0.85	99999	0.25	0.33	0.71	0.81	0.56	0.21	0.74	0.66	0.98
0.03	0.25	0.65	0.83	0.76	0.61	0.07	0.08	0.31	0.39	0.58	0.8	0.94	0.39	0.81	0.35	0.96	0.21	0.85	0.75	0.78	0.8	0.04	0.19	0.14	0.27	0.44	0.19	0.48	0.27	0.27	99999	0.74	0.41	0.07	0.65	0.56	0.51	0.38	0.61
0.1	0.92	0.29	0.22	0.89	0.59	0.19	0.5	0.62	0.2	0.43	0.55	0.75	0.26	0.48	0.62	0.14	0.98	0.68	0.25	0.64	0.08	0.95	0.98	0.41	0.47	0.03	0.71	0.22	0.62	0.84	0.88	99999	0.76	0.7	0.01	0.64	0.47	0.82	0.22
0.78	0.69	0.7	0.38	0.74	0.35	0.49	0.83	0.04	0.5	0.25	0.91	0.2	0.47	0.3	0.11	0.73	0.99	0.67	0.56	0.06	0.67	0.04	0.14	0.65	0.86	0.51	0.77	0.52	0.57	0.58	0.07	0.96	99999	0.36	0.75	0.79	0.02	0.84	0.38
0.58	0.84	0.33	0.43	0.46	0.34	0.4	0.48	0.73	0.43	0.55	0.26	0.19	0.97	0.15	0.37	0.63	0.94	0.69	0.77	0.91	0.3	0.05	0.44	0.35	0.6	0.36	0.64	0.22	0.35	0.17	0.19	0.39	0.33	99999	0.58	0.85	0.18	0.39	0.9
0.82	0.0	0.71	0.74	0.79	0.09	0.47	0.94	0.5	0.23	0.46	0.74	0.92	0.86	0.35	0.55	0.35	0.79	0.77	0.07	0.31	0.66	0.13	0.2	0.76	0.34	0.28	0.46	0.94	0.16	0.12	0.87	0.71	0.82	0.98	99999	0.75	0.15	0.41	0.04
0.66	0.58	0.38	0.18	0.86	0.35	0.62	0.64	0.71	0.9	0.75	0.37	0.61	0.85	0.52	0.82	0.26	0.79	0.66	0.02	0.03	0.59	0.69	0.92	0.96	0.13	0.12	0.25	0.8	0.13	0.26	0.53	0.7	0.74	0.19	0.31	99999	0.92	0.5	0.65
0.24	0.73	0.3	0.6	0.54	0.55	0.95	0.36	0.0	0.13	0.81	0.67	0.09	0.27	0.43	0.49	0.64	0.41	0.01	0.37	0.46	0.28	0.33	0.4	0.01	0.37	0.93	0.92	0.32	0.29	0.62	0.2	0.22	0.61	0.19	0.26	0.01	99999	0.47	0.86
