20
1	8	5	7	17	7	7	3	3	9	9	8	8	12	13	9	20	9	8	9
8	1	15	12	3	14	16	8	7	11	5	13	12	3	13	5	12	14	12	18
5	15	1	13	8	18	18	8	4	11	3	14	15	3	20	16	14	15	3	17
7	12	13	1	4	8	9	6	10	17	14	19	14	19	11	17	6	14	12	4
17	3	8	4	1	16	5	9	13	19	14	7	13	11	20	5	12	13	12	8
7	14	18	8	16	1	5	7	12	18	8	4	5	20	15	4	10	14	11	17
7	16	18	9	5	5	1	16	7	4	4	18	13	9	7	7	16	6	8	16
3	8	8	6	9	7	16	1	14	7	4	16	12	7	17	8	19	17	18	13
3	7	4	10	13	12	7	14	1	18	11	12	18	15	7	6	15	20	8	18
9	11	11	17	19	18	4	7	18	1	13	8	5	18	11	19	20	19	14	5
9	5	3	14	14	8	4	4	11	13	1	14	4	12	14	20	11	18	11	12
8	13	14	19	7	4	18	16	12	8	14	1	13	8	3	18	20	11	13	11
8	12	15	14	13	5	13	12	18	5	4	13	1	17	12	19	14	14	11	14
12	3	3	19	11	20	9	7	15	18	12	8	17	1	16	14	8	17	14	13
13	13	20	11	20	15	7	17	7	11	14	3	12	16	1	19	7	19	8	9
9	5	16	17	5	4	7	8	6	19	20	18	19	14	19	1	14	18	12	5
20	12	14	6	12	10	16	19	15	20	11	20	14	8	7	14	1	16	8	19
9	14	15	14	13	14	6	17	20	19	18	11	14	17	19	18	16	1	16	12
8	12	3	12	12	11	8	18	8	14	11	13	11	14	8	12	8	16	1	20
9	18	17	4	8	17	16	13	18	5	12	11	14	13	9	5	19	12	20	1
