0.22	0.85	0.93	0.67	0.31	0.08	0.58	0.94	0.61	0.31	0.68	0.13	0.32	0.16	0.93	0.57	0.58	0.58	0.43	0.97	0.3	0.76	0.75	0.75	0.31	0.2	0.45	0.33	0.65	0.2	0.65	0.29	0.17	0.9	0.92	0.4	0.26	0.06	0.11	0.79	0.15	0.55	0.22	0.54	0.93	0.39	0.21	0.54	0.81	0.7	0.98	0.85	0.22	0.45	0.32	0.71	0.2	0.18	0.61	0.29	0.76	0.25	0.44	0.7	0.51	0.86	0.41	0.31	0.64
0.43	0.98	0.83	0.26	0.53	0.24	0.41	0.9	0.2	0.47	0.25	0.23	0.29	0.07	0.65	0.84	0.09	0.92	0.57	0.85	0.63	0.7	0.58	0.76	0.67	0.93	0.65	0.79	0.63	0.63	0.83	0.67	0.51	0.97	0.65	0.42	0.36	0.07	0.4	0.04	0.54	0.73	0.2	0.08	0.14	0.21	0.12	0.74	0.33	0.76	0.78	0.65	0.99	0.19	0.56	0.67	0.56	0.72	0.19	0.94	0.53	0.12	0.16	0.3	0.59	0.39	0.55	0.94	0.86
0.45	0.76	0.89	0.13	0.42	0.71	0.11	0.89	0.12	0.7	0.36	0.7	0.27	0.09	0.57	0.66	0.22	0.05	0.12	0.06	0.84	0.72	0.32	0.87	0.63	0.41	0.19	1.0	0.44	0.82	0.32	0.34	0.88	0.48	0.45	0.23	0.53	0.05	0.02	0.7	0.69	0.31	1.0	0.23	0.57	0.93	0.75	0.72	0.9	0.46	0.8	0.31	0.65	0.88	0.07	0.01	0.81	0.04	0.31	0.97	0.52	0.29	0.82	0.38	0.82	0.68	0.38	0.74	0.29
0.36	0.56	0.88	0.01	0.74	0.36	0.94	0.46	0.07	0.98	0.32	0.13	0.54	0.08	0.75	0.26	0.69	0.86	0.74	0.37	0.07	0.62	0.79	0.51	0.55	0.59	0.3	0.15	0.81	0.24	0.9	0.19	0.85	0.03	0.35	0.45	0.33	0.89	0.65	0.7	0.2	0.14	0.51	0.23	0.31	0.78	0.55	0.73	0.64	0.49	0.32	0.79	0.72	0.44	0.49	0.94	0.75	0.43	0.31	0.47	0.47	0.28	0.05	0.51	0.6	0.63	0.44	0.86	0.51
0.75	0.66	0.62	0.85	0.89	0.27	0.89	0.66	0.4	0.34	0.13	0.72	0.45	0.68	0.52	0.82	0.35	0.22	0.76	0.88	0.38	0.73	0.19	0.51	0.89	0.99	0.52	0.41	0.71	0.66	0.86	0.42	0.88	0.85	0.22	0.77	0.21	0.73	1.0	0.54	0.48	0.2	0.21	0.4	0.65	0.63	0.43	0.83	0.56	0.96	0.23	0.43	0.53	0.44	0.47	0.4	0.25	0.4	0.79	0.89	0.21	0.4	0.88	0.47	0.27	0.15	0.95	0.83	0.81
0.05	0.34	0.72	0.08	0.43	0.11	0.56	0.2	0.95	0.08	0.71	0.74	0.58	0.53	0.33	0.19	0.95	0.26	0.03	0.37	0.26	0.34	0.32	0.69	0.85	0.98	0.64	0.7	0.29	0.78	0.5	0.63	0.93	0.03	0.1	0.31	0.34	0.54	0.29	0.95	0.77	0.18	0.72	0.6	0.43	0.88	0.38	0.47	0.16	0.9	0.64	0.57	0.91	0.39	0.26	0.25	0.39	0.37	0.86	1.0	0.65	0.42	0.97	0.93	0.87	0.6	0.08	0.66	0.58
0.51	0.98	0.62	0.69	0.52	0.17	0.76	0.35	0.05	0.98	0.23	0.48	0.54	0.57	0.97	0.53	0.73	0.53	0.09	0.88	0.56	0.88	0.06	0.22	0.47	0.13	0.01	0.11	0.78	0.66	0.95	0.19	0.88	1.0	0.47	0.06	0.12	0.88	0.71	0.37	0.99	0.72	0.33	0.75	0.24	0.37	0.92	0.95	0.77	0.49	0.95	0.94	0.08	0.68	0.7	0.22	0.43	0.22	0.41	0.11	0.6	0.26	0.71	0.18	0.34	0.94	0.23	0.88	0.35
0.7	0.62	0.4	0.67	0.08	0.77	0.04	0.66	0.41	0.89	0.62	0.82	0.4	0.05	0.93	0.57	0.59	0.82	0.27	0.32	0.53	0.71	0.56	0.08	0.44	0.39	0.85	0.72	0.54	0.72	0.61	0.85	0.91	0.56	0.11	0.15	0.46	0.8	0.74	0.33	0.64	0.34	0.57	0.23	0.31	0.81	0.28	0.85	0.78	0.11	0.55	0.48	0.44	0.7	0.67	0.19	0.3	0.5	0.79	0.6	0.98	0.35	0.18	0.82	0.04	0.66	0.1	0.56	0.23
0.31	0.91	0.79	0.13	0.27	0.09	0.87	0.36	0.36	0.25	0.79	0.15	0.01	0.01	0.89	0.01	0.4	0.72	0.88	0.31	0.32	0.85	0.67	0.7	0.25	0.84	0.9	0.46	0.42	0.21	0.01	0.1	0.3	0.01	0.94	0.73	0.13	0.05	0.43	0.67	0.83	0.08	0.31	0.66	0.32	0.04	0.02	0.61	0.97	0.24	0.5	0.34	0.02	0.22	0.15	0.45	0.89	0.31	0.1	0.62	0.4	0.52	0.69	0.37	0.12	0.68	0.2	0.0	0.7
0.41	0.54	0.16	0.51	0.39	0.83	0.66	0.5	0.42	0.72	0.54	0.9	0.24	0.79	0.72	0.79	0.68	0.79	0.28	0.74	0.8	0.08	0.21	0.5	0.62	0.36	0.91	0.56	0.32	0.54	0.28	1.0	0.6	0.14	0.36	0.94	0.07	0.31	0.06	0.9	0.74	0.01	0.48	0.39	0.14	0.54	0.73	0.6	0.24	0.29	0.52	0.38	0.34	0.12	0.81	0.48	0.38	0.52	0.57	0.1	0.1	0.71	0.31	0.1	0.33	0.55	0.32	0.81	0.21
