0A0,0A1
0A0,0B3
0A0,0C4
0A0,0D8
0A1,0A2
0A1,0B4
0A1,0C5
0A1,0D9
0A2,0A3
0A2,0B5
0A2,0C6
0A2,0D10
0A3,0A4
0A3,0B6
0A3,0C7
0A3,0D11
0A4,0A5
0A4,0B7
0A4,0C8
0A4,0D12
0A5,0A6
0A5,0B8
0A5,0C9
0A5,0D13
0A6,0A7
0A6,0B9
0A6,0C10
0A6,0D14
0A7,0A8
0A7,0B10
0A7,0C11
0A7,0D15
0A8,0A9
0A8,0B11
0A8,0C12
0A8,0D16
0A9,0A10
0A9,0B12
0A9,0C13
0A9,0D17
0A10,0A11
0A10,0B13
0A10,0C14
0A10,0D18
0A11,0A12
0A11,0B14
0A11,0C15
0A11,0D19
0A12,0A13
0A12,0B15
0A12,0C16
0A12,0D20
0A13,0A14
0A13,0B16
0A13,0C17
0A13,0D21
0A14,0A15
0A14,0B17
0A14,0C18
0A14,0D22
0A15,0A16
0A15,0B18
0A15,0C19
0A15,0D23
0A16,0A17
0A16,0B19
0A16,0C20
0A16,0D24
0A17,0A18
0A17,0B20
0A17,0C21
0A17,0D25
0A18,0A19
0A18,0B21
0A18,0C22
0A18,0D26
0A19,0A20
0A19,0B22
0A19,0C23
0A19,0D27
0A20,0A21
0A20,0B23
0A20,0C24
0A20,0D28
0A21,0A22
0A21,0B24
0A21,0C25
0A21,0D29
0A22,0A23
0A22,0B25
0A22,0C26
0A22,0D30
0A23,0A24
0A23,0B26
0A23,0C27
0A23,0D31
0A24,0A25
0A24,0B27
0A24,0C28
0A24,0D32
0A25,0A26
0A25,0B28
0A25,0C29
0A25,0D33
0A26,0A27
0A26,0B29
0A26,0C30
0A26,0D34
0A27,0A28
0A27,0B30
0A27,0C31
0A27,0D35
0A28,0A29
0A28,0B31
0A28,0C32
0A28,0D36
0A29,0A30
0A29,0B32
0A29,0C33
0A29,0D37
0A30,0A31
0A30,0B33
0A30,0C34
0A30,0D38
0A31,0A32
0A31,0B34
0A31,0C35
0A31,0D39
0A32,0A33
0A32,0B35
0A32,0C36
0A32,0D40
0A33,0A34
0A33,0B36
0A33,0C37
0A33,0D41
0A34,0A35
0A34,0B37
0A34,0C38
0A34,0D42
0A35,0A36
0A35,0B38
0A35,0C39
0A35,0D43
0A36,0A37
0A36,0B39
0A36,0C40
0A36,0D44
0A37,0A38
0A37,0B40
0A37,0C41
0A37,0D45
0A38,0A39
0A38,0B41
0A38,0C42
0A38,0D46
0A39,0A40
0A39,0B42
0A39,0C43
0A39,0D47
0A40,0A41
0A40,0B43
0A40,0C44
0A40,0D48
0A41,0A42
0A41,0B44
0A41,0C45
0A41,0D49
0A42,0A43
0A42,0B45
0A42,0C46
0A42,0D50
0A43,0A44
0A43,0B46
0A43,0C47
0A43,0D51
0A44,0A45
0A44,0B47
0A44,0C48
0A44,0D52
0A45,0A46
0A45,0B48
0A45,0C49
0A45,0D53
0A46,0A47
0A46,0B49
0A46,0C50
0A46,0D54
0A47,0A48
0A47,0B50
0A47,0C51
