99999	0.32	0.37	0.39	1.76	0.15	0.51	0.28	0.16	0.57
0.47	99999	0.48	0.06	1.85	0.37	1.88	0.69	0.67	0.94
0.95	0.12	99999	1.34	0.29	1.35	1.46	0.33	0.4	0.02
0.23	0.16	0.8	99999	0.97	0.36	0.62	0.94	0.57	1.46
1.44	0.33	0.24	0.67	99999	0.94	1.29	0.86	1.95	0.01
0.06	0.78	0.82	0.04	0.55	99999	0.99	0.52	0.7	0.19
0.14	1.8	0.98	1.87	0.11	0.24	99999	0.05	0.4	0.06
0.26	0.41	0.61	0.1	0.08	0.97	0.18	99999	1.02	0.8
0.53	0.08	0.63	0.22	1.08	1.84	0.6	1.71	99999	0.43
0.03	1.08	0.49	1.14	0.38	1.25	0.73	1.83	0.62	99999
