0.43	0.73	0.17	0.89	0.22	0.45	0.03	0.77	0.86	0.76	0.92	0.42
0.66	0.71	0.19	0.25	0.77	0.53	0.37	0.61	0.14	0.01	0.43	0.01
0.96	0.33	0.08	0.01	0.6	0.48	0.45	0.61	0.17	0.44	0.23	0.82
0.54	0.67	0.09	0.41	0.86	0.31	0.12	0.08	0.92	0.04	0.47	0.15
0.45	0.67	0.29	0.3	0.29	0.35	0.09	0.21	0.46	0.86	0.69	0.87
0.23	0.26	0.5	0.51	0.57	0.66	0.41	0.13	0.88	0.37	0.59	0.45
0.04	0.76	0.07	0.63	0.66	0.46	0.33	0.51	0.84	0.85	0.47	0.62
0.89	0.78	0.94	0.86	0.13	0.73	0.28	0.41	0.4	0.62	0.61	0.29
0.82	0.24	0.58	0.9	0.31	0.61	0.93	0.5	0.53	0.22	0.79	0.46
0.12	0.98	0.25	0.11	0.74	0.84	0.26	0.27	0.18	0.49	0.3	0.85
0.73	0.56	0.57	0.04	0.46	0.08	0.37	0.49	0.74	0.32	0.32	0.86
0.3	0.01	0.23	0.3	0.21	0.58	0.73	0.92	0.59	0.73	0.87	0.69
